"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss";"micro-AUC";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error";"precision";"ranking-loss";"recall";"subset-accuracy";"wlp"
"emotions";0,47393808322934;0,70261685922621;0;2,45298611294001;0,55536937232946;0,2401638504122;0,69818923504826;0,57729192063845;0,61752980405462;0,56966255429297;1,87019069844206;0,71105367385325;0,60226998182232;0,62033848063835;0,5875907904807;0,01666666666667;0,40436273713124;0,59871484138502;0,28321109880547;0,57449755312893;0,23104258053108;0,01666666666667
"flags";0,60342373610795;0,78933293165574;0,22857142857143;4,02745348219033;0,71684622086815;0,26214893293841;0,60744625822357;0,62036715820475;0,65383187405744;0,64258503401361;2,49658160552897;0,7374271133244;0,73839887621103;0,71805374510419;0,76179799263755;0,07142857142857;0,22515948963317;0,70421012126275;0,26215740740741;0,74698593706488;0,16877458798511;0,08571428571429
"GnegativeGO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GnegativePseAAC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GpositiveGO";0,94411480121802;0,96503054535796;0;0,10196932183614;0,95055019588871;0,02794259939099;0,94966639106532;0,87709033632601;0,86275313839404;0,92073789772319;0,09423930675318;0,97028121406613;0,94560391480096;0,93028002763355;0,96182589145963;0;0,05969364523749;0,94507633967956;0,03141310225106;0,96245944676855;0,92480861720595;0,025
"GpositivePseAAC";0,55109778309001;0,72919891952911;0;0,80608013887703;0,56004866387774;0,22780777768292;0,63765677932717;0,41235318292169;0,4208795201702;0,43865941248294;0,80027320071715;0,70599075628389;0,55877031691719;0,54568452451581;0,57359700048379;0,175;0,43932240530465;0,55400125216995;0,26595016695599;0,57504695637326;0,52424514072683;0,225
"scene";0,57569461759267;0,71124800645732;0;1,37794957451334;0,60109310728852;0,14884269531458;0,7635315402593;0,61565781632698;0,63176771742142;0,63422928922892;1,32546115351487;0,75738702302184;0,5988851061264;0,57882699095058;0,62086984975411;0;0,40209878244244;0,59572232239262;0,25219314174863;0,63193379049577;0,50154145414845;0
"VirusGO";0,90047619047619;0,95808333333333;0;0,39404761904762;0,92633333333333;0,03805555555556;0,90868993823836;0,83653025537701;0,8346127946128;0,87546296296296;0,18071428571429;0,95390834024929;0,91278887313551;0,88100673691277;0,94946723646724;0,06666666666667;0,05833333333333;0,91761904761905;0,02897685185185;0,96007936507937;0,82047619047619;0,06666666666667
"VirusPseAAC";0,35611111111111;0,59451455026455;0;2,03214285714286;0,39329365079365;0,23404761904762;0,60178449355476;0,30347047189859;0,3087031024531;0,33680555555556;1,87690476190476;0,6264684121294;0,41050654107797;0,42049795692853;0,40435612535613;0,25;0,56357142857143;0,42238095238095;0,354;0,40071428571429;0,25190476190476;0,41666666666667
"Yelp";0,65619549875126;0,89275338481993;0;1,31406769825679;0,71905361128241;0,16286070925561;0,77834592970382;0,70059563896163;0,73103565779857;0,6800259470145;0,58533818331397;0,81415089464624;0,75049698120352;0,75345166641871;0,74761287391797;0;0,1939559420156;0,76141961769045;0,11256654962933;0,73167333167555;0,45079409753008;0
