;global;local;hpml-jma;hpml-jmi;hpml-js;hpml-kma;hpml-kmi;hpml-ks;exhaustive-ma;exhaustive-mi;oracle-ma;oracle-mi;r1-ma;r1-mi;r1-s;r2-ma;r2-mi;r2-s;r3
emotions;0,5552688500;0,5632876200;0,5931115149;0,5940200909;0,5666499648;0,5931115149;0,5695188877;0,5721320903;0,5839501697;0,5772919206;0,6094662484;0,6094662484;0,5859174735;0,5743565819;0,5599539333;0,5712104045;0,5575484480;0,5635449964;0,5824126763
flags;0,6122243960;0,5841996950;0,5996669533;0,5986963450;0,5771146442;0,5786965874;0,5801360053;0,5975326315;0,5689873330;0,6203671582;0,6534029444;0,6427091751;0,5866711600;0,6039753745;0,5919820852;0,5890128428;0,5942408458;0,5650910409;0,6123417419
GnegativeGO;0,8048687230;0,9269657248;0,9034498763;0,9033695870;0,8362264117;0,9307393506;0,9307393506;0,9050789985;NA;NA;NA;NA;0,9176834834;0,9171931919;0,9188953940;0,9304996573;0,9284148232;0,9304189919;0,9177742754
GnegativePseAAC;0,1706149600;0,3061810400;0,3192240223;0,3203745103;0,2357776641;0,2915478932;0,2811614965;0,2426584545;NA;NA;NA;NA;0,3151796646;0,2854206541;0,2682777073;0,3105054129;0,2980466248;0,2370941899;0,3148422857
GpositiveGO;0,8858833270;0,8847393156;0,8706392866;0,8549034683;0,8725761260;0,8568016522;0,8568016522;0,8725761260;0,8763760506;0,8770903363;0,8994474987;0,8842652710;0,8801950303;0,8800614647;0,8798129909;0,8679357589;0,8679357589;0,8602663188;0,8605310821
GpositivePseAAC;0,4103846000;0,4146014700;0,3927578340;0,3934612972;0,3918159786;0,4024321614;0,4083793652;0,4018956093;0,4112931765;0,4123531829;0,4699158717;0,4699158717;0,4515305734;0,4430492451;0,4390500309;0,4072883402;0,4175797090;0,4094824683;0,4330699784
scene;0,6006144400;0,6299070700;0,6081309751;0,6080424253;0,6193057448;0,6025023155;0,6006831642;0,6052259191;0,6171478645;0,6156578163;0,6394928714;0,6394928714;0,6113099142;0,6113099142;0,6027296353;0,6172153634;0,6204933247;0,6293794241;0,6051718900
VirusGO;0,7870115288;0,8785784692;0,8360937474;0,8477339591;0,8777339591;0,7598669058;0,7595452684;0,7662021885;0,8365302554;0,8365302554;0,8910672924;0,8910672924;0,8434217898;0,8323106787;0,7805014988;0,8789757891;0,8789757891;0,8533159697;0,8633713164
VirusPseAAC;0,1196722571;0,2740560300;0,2288940972;0,2192644676;0,2389509848;0,2057991657;0,2363434402;0,1980818029;0,2743967789;0,3034704719;0,3559910191;0,2822621582;0,2887706308;0,2827269157;0,1704130664;0,2549938312;0,2216228204;0,1859417482;0,3366554216
Yelp;0,6372450800;0,7015747630;0,6976003092;0,6976003092;0,6855631059;0,6840093570;0,6822721227;0,6723899524;0,7005873257;0,7005956390;0,7015747656;0,7015747656;0,6837565542;0,6837565542;0,6644471031;0,6922070424;0,6926628355;0,6821845719;0,7003638675
